,Date,Province,new_cases,active_cases,total_recovered,new_recovered,total_deaths,new_deaths,total_cases,Location,Location Level,City or Regency,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,Name_EN,id,total_cases_per_100k,total_deaths_per_100k,new_cases_per_mil,cases7,cases7_per_100k,deaths7,deaths7_per_100k,CFR,growth_rate_new_cases
0,2020-03-21,Aceh,0,0,0,0,0,0,0,Aceh,Province,,Indonesia,Asia,Sumatera,UTC+07:00,Daerah Khusus,18,5.0,289,,6497.0,57956,5247257,90.54,96.91052174,4.225614628,aceh,1,0.0,0.0,0.0,,,,,,
6460,2020-03-21,Kalimantan Utara,0,0,0,0,0,0,0,Kalimantan Utara,Province,,Indonesia,Asia,Kalimantan,UTC+08:00,,4,1.0,53,35.0,447.0,75468,648407,8.59,116.2188791,2.8910126210000002,kalimantan utara,0,0.0,0.0,0.0,,,,,,
4940,2020-03-21,Riau,0,1,0,0,0,0,1,Riau,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,10,2.0,169,268.0,1591.0,87024,6074100,69.8,101.8051092,0.511647851,riau,18,0.0,0.0,0.0,,,,,0.0,
11020,2020-03-21,Nusa Tenggara Barat,0,0,0,0,0,0,0,Nusa Tenggara Barat,Province,,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,2.0,117,145.0,995.0,18572,5270247,283.77,117.5086257,-8.606998866,nusa tenggara barat,15,0.0,0.0,0.0,,,,,,
3040,2020-03-21,Jawa Tengah,2,11,0,0,3,0,14,Jawa Tengah,Province,,Indonesia,Asia,Jawa,UTC+07:00,,29,6.0,576,753.0,7809.0,32801,36364072,1108.64,110.2011149,-7.259097177,jawa tengah,30,0.0,0.0,5.499934110789353e-08,,,,,21.43,
5320,2020-03-21,Papua,0,0,0,0,0,0,0,Papua,Province,,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1.0,560,110.0,5411.0,319036,4340348,13.6,138.69603,-4.66620953,papua,17,0.0,0.0,0.0,,,,,,
5321,2020-03-21,Papua,0,0,0,0,0,0,0,Papua,Province,,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1.0,560,110.0,5411.0,319036,4340348,13.6,138.69603,-4.66620953,papua,17,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,,
380,2020-03-21,Jambi,0,0,0,0,0,0,0,Jambi,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,9,2.0,141,163.0,1399.0,50058,3493357,69.79,102.72364040000001,-1.69769766,jambi,28,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,,
1140,2020-03-21,Sulawesi Selatan,2,2,0,0,0,0,2,Sulawesi Selatan,Province,,Indonesia,Asia,Sulawesi,UTC+08:00,,21,3.0,311,792.0,2255.0,46717,9426885,201.78,120.16205590000001,-3.731080714,sulawesi selatan,19,0.0,0.0,2.1215915968000033e-07,0.5714285714285714,0.0,0.0,0.0,0.0,inf
8360,2020-03-21,Lampung,0,1,0,0,0,0,1,Lampung,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,13,2.0,228,205.0,2435.0,34624,9095591,262.7,105.02143659999999,-4.916792975,lampung,12,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,
8740,2020-03-21,Gorontalo,0,0,0,0,0,0,0,Gorontalo,Province,,Indonesia,Asia,Sulawesi,UTC+08:00,,5,1.0,77,72.0,657.0,11257,1180651,104.88,122.3760581,0.687002604,gorontalo,26,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,,
9500,2020-03-21,Bangka-Belitung,0,0,0,0,0,0,0,Bangka-Belitung,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,6,1.0,47,82.0,309.0,16424,1379767,84.01,106.5499324,-2.447444127,kepulauan bangka belitung,5,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,,-1.0
6840,2020-03-21,Jawa Barat,14,47,1,0,7,0,55,Jawa Barat,Province,,Indonesia,Asia,Jawa,UTC+07:00,,18,9.0,627,645.0,5312.0,35378,45161325,1276.55,107.6037083,-6.920432083,jawa barat,29,0.0,0.0,3.099997619644685e-07,2.2857142857142856,0.0,0.0,0.0,12.73,inf
1520,2020-03-21,Sumatera Utara,0,1,0,0,1,0,2,Sumatera Utara,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,25,8.0,450,693.0,5417.0,72981,14874889,203.82,99.05196442,2.191894453,sumatera utara,4,0.0,0.0,0.0,2.2857142857142856,0.0,0.0,0.0,50.0,
